idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
158,PHILLIA,M1,TRENTO,275,9.8,,,,,E/T,2019-09-01,1,2019-09-01,,,,1,,0,2020-11-08,,0,
159,BLEU,MO,MOTO,,3,,,,,E/T,2020-12-01,1,2020-12-01,,,,1,,0,,,0,
160,CHAPITA,M1,GENESIS,,9.05,2.6,1.72,VOLVO PENTA 300HP,A1069050,E/T,2019-08-01,1,2019-08-16,,,,0,,0,,,0,
161,SEGUE 76,M3,SEGUE,275,23.16,,,,,E/T,,0,,,,,0,,0,,,1,2020-07-31
162,SAPHIRE,M3,SEGUE,62,18.9,,,,,REY 069228,,0,,,,,0,,0,,,1,2020-02-28
163,REINA II,G,QUEST,210,6.5,,,,,E/T,2019-05-01,1,2019-04-26,,,,0,,0,2020-08-16,,0,
164,PACHAY,G,CANESTRARI,235,7.15,2.55,1.67,VOLVO PENTA 270HP,4012205808,REY 042953,2019-06-01,1,2019-06-01,,,,0,,0,2020-05-05,,1,2021-01-31
165,ARISCA,G,BERMUDA LA CRUZ,,5.52,2.31,1.22,MERCURY 200HP,2B415805,REY 005900,,0,,,,,0,,0,,,0,
166,LUMAGO,M2,SEGUE,55,16.8,4.64,3,IVECO 1411HP,1338614 / 1338655,076570 REY,2019-10-01,1,2019-10-01,,,,1,,0,2020-03-16,,0,
167,GRAN VIDA,M3,KLASE A,,25,,,,,,2019-06-01,1,2019-06-11,,,,0,,0,,,1,2019-12-31
168,AUXILIAR LUMAGO,MO,,,3.3,,,IVECO 1411HP,1338614 / 1338655,076570 REY,2019-10-01,1,2019-10-01,,,,0,,0,,,0,
169,GUAYNUMBY,G,COMPLETAR DATOS,,7.3,2.25,1.05,MERCRUISER 350WLVI 330HP,2A055619,09421 REY,,0,,,,,1,,0,,,0,
170,TIBON FEST,G,FOURWINS,,5.78,2.4,1.16,VOLVO PENTA V6-225 225HP,A232381,REY 065920,2019-02-01,1,2019-01-21,,,,1,,0,,,1,2021-08-31
171,MITOS,M2,KLASE A,50,15.2,,,,,REY 075806,2019-09-01,1,2019-09-01,,,,0,,0,,,0,
172,SCALA,M1,TRENTO,305,9.4,,,,,E/T,2019-11-01,1,2019-11-04,,,,0,,0,2020-10-25,,1,2020-06-30
173,GOMON - TENAZ 2,G,ZODIAC,CHEROKEE,4.95,2.06,0.7,MERCURY,1C361911,REY 059804,2019-12-01,1,2019-12-12,,,,0,,0,,,1,2020-08-31
174,CHERRY EXPRESS,G,CANESTRARI,CROSS OVER 225,6.9,,,,,REY 071271,2019-12-01,1,2019-12-14,,,,0,,0,,,0,
175,VICE,M1,BAYLINER,310,9.8,,,MERCRUISER 220HP,2A449604 / 2A449601,E/T,2020-01-01,1,2020-01-01,,,,0,,0,2020-10-20,,1,2020-10-01
176,SUR,G,CHRIS CRAFT,,6.83,2.52,1.06,VOLVO PENTA V8-320-A 320HP,A221472,063669REY,2020-01-01,1,2019-12-21,,,,1,,0,,,0,
177,ALESSANDRO II,G,CHRIS CRAFT,,7.54,2.51,1.21,VOLVO PENTA 320HP,A248580,067092REY,2020-01-01,1,2020-01-01,,,,1,,0,,,0,
178,TISO III,MO,SEA DOO,SPARK,2.79,1.18,0.33,,,SFER02472,2020-01-01,1,2020-01-04,,,,0,,0,,,1,2020-10-31
179,ZETA,G,MONTERREY,,6.3,2.5,1.27,MERCRUISER 197HP,2A637547,ET,2020-01-01,1,2020-01-10,,,,0,,0,,,0,
180,MOTO 1,MO,,,3,,,,,,,0,,,,,0,,0,,,0,
181,MOTO 2,MO,,,3,,,,,,,0,,,,,0,,0,,,0,
182,LANCHA PESOTTO,G,,,7,,,,,,,0,,,,,0,,0,,,0,
183,MOTO YAMAHA,MO,YAMAHA,,,,,,,ET,2020-02-01,1,2020-01-24,,,,0,,0,,,1,2020-11-25
184,FORTUNA 7,G,VISION,,4.56,1.82,0.91,MERCURY,2B107187,077040REY,2020-02-01,1,2020-02-01,,,,1,,0,,,0,
185,PEKAS NONI,M1,TRENTO,325,9.7,3.1,1.9,VOLVO PENTA 300HP,A260382,E/T,2020-01-01,1,2020-01-15,,,,0,,0,2021-01-06,,0,
186,KIA ORA,G,QUEST,225,6.85,,,,,,2020-03-01,1,2020-02-27,,,,0,,0,,,0,
187,ESTEFANIA,G,CANESTRARI,235,7.15,2.55,1.67,,,,2020-03-01,1,2020-02-29,,,,0,,0,2020-11-16,,0,
188,KANDO V,MO,,,3,,,,,,,0,,,,,1,,0,,,0,
189,DAIKIRI,G,,,7.62,,,,,,2020-03-01,1,2020-02-29,,,,0,,0,,,0,
190,METEORO,G,ZODIAC,,4.95,2.06,0.7,,,,2020-03-01,1,2020-03-12,,,,0,,0,,,1,2020-11-25
191,SER UNO,M2,NAUTICAL YACHTS,55,16.7,4.42,2.52,IVECO 620HP x2,14976 / 15329,060431REY,2020-03-01,1,2020-03-16,,,,0,,0,,,1,2020-11-30
192,BLUE / MONTENAPO,M2,TANGO,48,14.6,4.48,2.68,YANMAR 473.38HP x2,M61260 / M61259,053166REY,2020-03-01,1,2020-03-16,,,,0,,0,,,1,2020-11-30
193,EIVISSA,M3,LURSSEN,1987,30.85,6.92,3.58,MTU 2000HP x 2,,70449,2020-03-01,1,2020-03-01,,,,1,,0,,,0,
194,MORENA,M1,HARD CRAFT,HERENCIA CUSTOM BOAT,11.05,3.46,1.95,MERCURY PRO XS 300HP X 2,,,2020-06-01,1,2020-06-01,,,,0,,0,,,1,2020-11-30
195,CELTA,M2,STATESMAN,36,11.2,3.71,0.9,VOLVO PENTA,2204211190 / 2204210455,REY 027923,2020-04-01,1,2020-04-01,,,,0,,0,,,1,2020-06-30
196,GOMON EIVISSA,G,CHINCHORRO,,5,,,,,,2020-03-01,1,2020-03-01,,,,0,,0,,,0,
197,POLI,M1,TRENTO,305,9.4,,,,,E/T,2020-08-01,1,2020-08-14,,,,0,,0,,,1,2021-10-31
198,LEON2,G,CANESTRARI,245,7.5,,,,,E/T,2020-09-01,1,2020-09-03,,,,0,,0,2021-09-03,,0,
199,BLUE RIVER,G,,,5.47,2.25,1.15,EVINRUDE,5535051,E/T,2020-09-01,1,2020-09-12,,,,0,,0,,,0,
200,DON CAITO,G,MARINE SUR,MS 500,4.9,2.11,1,MARINER,2B198920,085674REY,2020-10-01,1,2020-09-25,,,,1,,0,2021-09-10,,1,2021-07-31
201,VIRGILIO,G,KLASE A,,7.25,2.59,1.62,MERCRUISER 250HP,2A680424,E/T,2020-10-01,1,2020-10-03,,,,0,,0,2021-10-01,,0,
202,GUAPPA SOFIA,G,CANESTRARI,245,7.65,2.6,1.55,MERCRUISER 250HP,2A045479,REY071187,2020-11-01,1,2020-11-01,,,,1,,0,,,0,
203,MAROLA,M2,SEGUE,46,14,,,,,E/T,2020-10-01,1,2020-10-16,,,,0,,0,,,0,
204,FRANCHESCA,MO,BOMBARDIER,ROTAX,3.23,1.25,0.49,ROTAX 130HP,M7309476,ET,2020-11-01,1,2020-10-30,,,,0,,0,,,1,2020-11-30
205,LEICA,G,CANESTRARI,245,7.5,,,,,E/T,2020-10-01,1,2020-10-10,,,,0,,1,2021-10-28,,0,
206,YES DEAR,G,FORMULA,,7,2.45,1.05,,,REY06414,2020-11-01,1,2020-10-30,,,,0,,0,,,0,
207,ROMALINA VI,G,KLASE A,2400,7.25,2.59,1.62,MERCRUISER,2A673580,E/T,2020-11-01,1,2020-10-30,,,,0,,0,,,0,
208,TSONKY,G,MOBIUS MOOMBA,,7.5,2.29,1.17,VOLVO PENTA 5.0HP,4012134757,REY 037836,2020-11-01,1,2020-10-28,,,,0,,0,,,0,
209,TSONKY,G,MOBIUS MOOMBA,,7.5,2.29,1.17,VOLVO PENTA 5.0HP,4012134757,REY 037836,2020-11-01,1,2020-10-28,,,,0,,0,,,0,
210,CATIRA,G,AVALON,X3,5.4,,,MERCURY 115HP,,REY 049434,2020-11-01,1,2020-11-02,,,,0,,1,2021-10-29,,0,
